author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/314018129/,Москва,sale,flat,11,25,1,22.54,-1,0,6500000,Тропарево-Никулино,Востряковское шоссе,7с6,Озёрная,МФК-Ситимикс
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316064725/,Москва,sale,flat,1,5,1,31.4,-1,0,9200000,Измайлово,Измайловский проезд,6К2,Измайловская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/311419733/,Москва,sale,flat,5,12,1,34.1,-1,0,19000000,Обручевский, Академика Челомея,1А,Воронцовская,AFI Park 
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926973/,Москва,sale,flat,7,9,1,36.9,-1,0,8800000,Люблино, Верхние Поля,27С2,Братиславская,
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316289540/,Москва,sale,flat,2,33,1,50.0,-1,0,22000000,Хорошево-Мневники,Причальный проезд,10к2,Шелепиха,Level Причальный
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/314469865/,Москва,sale,flat,19,41,1,43.0,-1,0,32500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Мария Линкевич,realtor,https://www.cian.ru/sale/flat/316343661/,Москва,sale,flat,7,14,1,34.7,-1,0,9200000,Ярославский,Ярославское шоссе,4К2,Свиблово,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/315042925/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/316110485/,Москва,sale,flat,12,13,1,42.0,-1,0,32500000,Беговой,Ленинградский проспект,29к4,Динамо,Царская площадь
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/315478186/,Москва,sale,flat,4,5,1,30.9,-1,0,12990000,Тверской,1-й Самотечный переулок,20/1к2,Достоевская,
Юлия Борисенко,realtor,https://www.cian.ru/sale/flat/316357963/,Москва,sale,flat,5,5,1,32.1,-1,0,12600000,Нагорный,Черноморский бульвар,5К4,Чертановская,
Александр Тарасов,realtor,https://www.cian.ru/sale/flat/313434541/,Москва,sale,flat,1,3,1,43.0,-1,0,9785000,, Облепиховая,29,Ольховая,
